T(h:m:s),FT(h:m:s),T(Sec),T(ms),UF(Hz),Sats,Date,Time,Lat,Lon,Alt(Ft),Alt(M),GndSpd(M/S),Head(Deg),PDOP,intT(C),intT(F),extT(C),extT(F),msTemp(C),msTemp(F),msPress(PSI),msPress(ATM),msAlt(ft),msAlt(M),VertVel(Ft/S),VertVel(M/S),mag x,mag y,mag z,accel x,accel y,accel z,gyro x,gyro y,gyro z,orien yaw,orien pitch,orien roll,xbee message
0:00:19,NA:NA:NA,19.9,19926,0.1,0,10/14/23,9:52:19,0,0,0,0,0,0,9999,14.32,57.78,17.93,64.27,15.7,60.26,12.36,0.84,4742.79,1445.6,-0.1,-0.03,-10.19,-4.38,44.69,-0.03,7.77,-6.01,-0.05,0,0,1,-127.75,-0.38,
0:00:20,NA:NA:NA,20.9,20926,1,0,10/14/23,9:52:20,0,0,0,0,0,0,9999,14.3,57.74,17.86,64.16,15.67,60.21,12.36,0.84,4742.79,1445.6,0,0,-10.88,-4.75,43.19,-0.04,7.96,-6.09,0,0.03,-0.01,1.56,-126.12,-0.44,
0:00:21,NA:NA:NA,21.9,21926,1,0,10/14/23,9:52:21,0,0,0,0,0,0,9999,14.41,57.94,17.91,64.23,15.63,60.13,12.36,0.84,4742.16,1445.41,-0.63,-0.19,-10.88,-5.5,43.06,-0.08,8.01,-5.67,-0.03,0.01,-0.03,1.88,-125.69,-0.44,
0:00:22,NA:NA:NA,22.9,22926,1,0,10/14/23,9:52:22,0,0,0,0,0,0,9999,14.41,57.94,18,64.39,15.61,60.1,12.36,0.84,4740.9,1445.03,-1.26,-0.38,-9.75,-5.88,43.06,-0.08,7.91,-5.92,-0.02,0.01,0.01,2.75,-125.56,-0.94,
0:00:23,NA:NA:NA,23.9,23926,1,0,10/14/23,9:52:23,0,0,0,0,0,0,9999,14.43,57.98,18,64.39,15.6,60.08,12.36,0.84,4741.85,1445.31,0.94,0.29,-9.75,-6.38,43,-0.03,7.97,-5.44,-0.02,0.01,-0.01,2.62,-125.06,-0.69,
0:00:24,NA:NA:NA,24.9,24926,1,0,10/14/23,9:52:24,0,0,0,0,0,0,9999,14.37,57.86,18.08,64.55,15.56,60.01,12.36,0.84,4742.79,1445.6,0.94,0.29,-10.19,-5.19,42.75,-0.1,7.97,-5.84,0.06,0.03,-0.02,3.12,-125.38,-0.88,
0:00:25,NA:NA:NA,25.9,25926,1,0,10/14/23,9:52:25,0,0,0,0,0,0,9999,14.41,57.94,18.15,64.67,15.54,59.97,12.36,0.84,4741.85,1445.31,-0.94,-0.29,-10.56,-6.69,42.75,-0.2,8.14,-5.93,0.03,0.01,-0.01,3.25,-125,-0.81,
0:00:26,NA:NA:NA,26.9,26926,1,0,10/14/23,9:52:26,0,0,0,0,0,0,9999,14.43,57.98,18.19,64.75,15.53,59.95,12.36,0.84,4741.85,1445.31,0,0,-9.69,-7.06,42.19,-0.19,7.98,-5.95,0,-0.03,0.02,5.06,-125.25,-1.75,
0:00:27,NA:NA:NA,27.9,27926,1,0,10/14/23,9:52:27,0,0,0,0,0,0,9999,14.35,57.82,18.35,65.02,15.51,59.92,12.36,0.84,4742.16,1445.41,0.31,0.1,-9.25,-6.06,43.38,-0.07,7.82,-5.42,0,-0.02,0.01,4.62,-125.44,-1.56,
0:00:28,NA:NA:NA,28.9,28926,1,0,10/14/23,9:52:28,0,0,0,0,0,0,9999,14.21,57.58,18.15,64.67,15.48,59.86,12.36,0.84,4740.59,1444.93,-1.57,-0.48,-10.88,-5.56,42.75,-0.14,7.61,-5.89,0.13,0.05,-0.05,3.88,-127.94,-1.81,
0:00:29,NA:NA:NA,29.9,29926,1,0,10/14/23,9:52:29,0,0,0,0,0,0,9999,14.28,57.7,18.17,64.71,15.46,59.83,12.36,0.84,4743.42,1445.79,2.83,0.86,-10.38,-6.06,42.75,-0.07,7.87,-5.96,-0.05,-0.02,-0.01,3.44,-127.12,-1.31,
0:00:30,NA:NA:NA,30.9,30926,1,0,10/14/23,9:52:30,53.626026,-114.501801,45349.45,13822.51,0,0,9999,14.32,57.78,18.39,65.1,15.44,59.79,12.36,0.84,4741.85,1445.31,-1.57,-0.48,-9.69,-7,42.25,-0.31,7.97,-5.63,-0.03,-0.03,-0.01,5,-125.88,-1.88,
0:00:31,NA:NA:NA,31.9,31926,1,0,10/14/23,9:52:31,53.631805,-114.496597,45356.22,13824.58,0,0,9999,14.37,57.86,18.5,65.3,15.43,59.77,12.36,0.84,4742.48,1445.51,0.63,0.19,-9.69,-7.19,41.75,-0.36,7.79,-5.89,-0.1,-0.04,0,5.44,-126.81,-2,
0:00:32,NA:NA:NA,32.9,32926,1,0,10/14/23,9:52:32,56.012547,-101.671547,48108.73,14663.54,0,0,9999,14.35,57.82,18.56,65.42,15.41,59.74,12.37,0.84,4733.98,1442.92,-8.5,-2.59,-12,-30.69,24.38,-1.86,6.54,-7.23,0.28,1.2,-2.08,108,-144.81,-10.88,
0:00:33,NA:NA:NA,33.9,33926,1,0,10/14/23,9:52:33,52.914814,-117.210403,44512.63,13567.45,0,0,9999,14.41,57.94,18.56,65.42,15.41,59.74,12.36,0.84,4735.55,1443.4,1.57,0.48,8.5,-30.75,28.75,-0.68,3.8,-8.99,-0.13,0.47,-0.23,37.88,-162.44,2.88,
0:00:34,NA:NA:NA,34.9,34926,1,0,10/14/23,9:52:34,54.213028,-112.115967,46035.42,14031.6,0,0,9999,14.32,57.78,18.41,65.14,15.39,59.7,12.36,0.84,4734.61,1443.11,-0.94,-0.29,11.38,-34.25,25.56,-0.45,4.46,-8.54,-0.02,-0.03,0.03,36.25,-155.38,-1.12,
0:00:35,NA:NA:NA,35.9,35926,1,0,10/14/23,9:52:35,54.70784,-109.817726,46610.14,14206.77,0,0,9999,14.35,57.82,18.28,64.9,15.37,59.67,12.36,0.84,4735.24,1443.3,0.63,0.19,11.69,-34.25,25,-0.43,4.59,-8.64,-0.02,0.04,-0.03,37.06,-154.62,-1.56,
0:00:36,NA:NA:NA,36.9,36926,1,0,10/14/23,9:52:36,54.917511,-108.771233,46852.65,14280.69,0,0,9999,14.35,57.82,18.15,64.67,15.38,59.68,12.36,0.84,4735.55,1443.4,0.32,0.1,12.75,-32.5,27.56,-0.5,3.3,-9.43,0.21,0.03,-0.01,37.25,-157.88,-2,
0:00:37,NA:NA:NA,37.9,37926,1,0,10/14/23,9:52:37,53.756786,-114.103127,45502.63,13869.2,0,0,9999,14.39,57.9,18.04,64.47,15.38,59.68,12.36,0.84,4735.55,1443.4,0,0,10.06,-32.06,29.06,1.43,4,-9.21,-0.34,-0.12,0.57,34.75,-157.75,2.88,
0:00:38,NA:NA:NA,38.9,38926,1,0,10/14/23,9:52:38,54.003792,-113.099747,45791.42,13957.22,0,0,9999,14.37,57.86,17.91,64.23,15.36,59.65,12.36,0.84,4734.92,1443.2,-0.63,-0.19,9.5,-31.75,30.25,-0.45,3.61,-9.31,-0.06,-0.19,0.5,38.31,-161.31,2,
0:00:39,NA:NA:NA,39.9,39926,1,0,10/14/23,9:52:39,55.394417,-106.166786,47401.9,14448.1,0,0,9999,14.39,57.9,17.58,63.64,15.36,59.65,12.37,0.84,4731.78,1442.25,-3.15,-0.96,-6.5,-32.88,31.25,-0.54,4.67,-11.73,-0.07,-0.19,-0.15,65.56,-162,5.88,
0:00:40,NA:NA:NA,40.9,40926,1,0,10/14/23,9:52:40,54.265091,-112.00341,46096.05,14050.08,0,0,9999,14.41,57.94,17.23,63.01,15.34,59.61,12.36,0.84,4736.5,1443.68,4.72,1.44,6.06,-35.25,30,0.48,4.42,-9.95,-0.2,0.14,-0.21,39.88,-156,3.81,
0:00:41,NA:NA:NA,41.9,41926,1,0,10/14/23,9:52:41,54.717754,-109.901009,46621.62,14210.27,0,0,9999,14.3,57.74,16.72,62.1,15.31,59.56,12.36,0.84,4735.87,1443.49,-0.63,-0.19,11.56,-34.88,29.69,-0.47,4.25,-9.23,0.06,-0.05,-0.05,35.69,-156,-1.44,
0:00:42,NA:NA:NA,42.9,42926,1,0,10/14/23,9:52:42,54.723373,-109.895233,46628.12,14212.25,0,0,9999,14.21,57.58,16.33,61.39,15.25,59.45,12.36,0.84,4736.5,1443.68,0.63,0.19,11.56,-33.75,29.56,-0.16,4.04,-8.59,-0.01,-0.04,0,35.56,-156.44,-1,
0:00:43,NA:NA:NA,43.9,43926,1,0,10/14/23,9:52:43,54.728992,-109.889458,46634.63,14214.24,0,0,9999,14.23,57.62,16.02,60.84,15.22,59.4,12.36,0.84,4735.55,1443.4,-0.94,-0.29,9.38,-33.06,30.75,0.34,3.72,-8.58,-0.13,-0.01,0.09,36.06,-156.25,0,
0:00:44,NA:NA:NA,44.9,44926,1,0,10/14/23,9:52:44,54.055382,-112.99424,45851.63,13975.58,0,0,9999,14.3,57.74,15.6,60.09,15.23,59.41,12.36,0.84,4736.18,1443.59,0.63,0.19,10.06,-34.06,30.06,0.22,4.07,-8.52,0.03,0.05,0.04,36.19,-156.25,-0.06,
